t x v E
 66.2001 0.00558712 -0.0183248 0.000367015
 66.4001 0.00193689 -0.0181477 0.000333092
 66.6001 -0.00166023 -0.0177947 0.000319406
 66.8001 -0.0051697 -0.0172725 0.000325066
 67.0001 -0.00855854 -0.0165899 0.000348472
 67.2001 -0.0117956 -0.0157566 0.000387407
 67.4001 -0.0148519 -0.014784 0.000439145
 67.6001 -0.0177007 -0.0136844 0.000500578
 67.8001 -0.0203181 -0.0124712 0.000568353
 68.0001 -0.0226826 -0.0111586 0.000639013
 68.2001 -0.0247759 -0.00976165 0.000709134
 68.4001 -0.0265826 -0.00829579 0.000775456
 68.6001 -0.0280906 -0.00677689 0.000835011
 68.8001 -0.0292909 -0.00522103 0.000885217
 69.0001 -0.0301777 -0.00364433 0.000923973
 69.2001 -0.0307483 -0.0020628 0.000949715
 69.4001 -0.0310035 -0.000492174 0.00096146
 69.6001 -0.030947 0.00105222 0.000958821
 69.8001 -0.0305854 0.00255562 0.000941996
 70.0001 -0.0299284 0.00400397 0.00091174
 70.2001 -0.0289883 0.00538403 0.000869312
 70.4001 -0.0277801 0.00668351 0.000816406
 70.6001 -0.0263211 0.00789114 0.000755068
 70.8001 -0.0246305 0.00899679 0.000687604
 71.0001 -0.0227297 0.00999155 0.000616473
 71.2001 -0.0206418 0.0108678 0.000544192
 71.4001 -0.018391 0.0116191 0.000473232
 71.6001 -0.0160028 0.0122407 0.000405924
 71.8 -0.0135036 0.0127288 0.00034437
 72 -0.0109203 0.0130814 0.000290376
 72.2 -0.00828015 0.0132976 0.000245386
 72.4 -0.00561035 0.0133779 0.000210445
 72.6 -0.00293792 0.0133243 0.000186169
 72.8 -0.000289342 0.01314 0.000172743
 73 0.00230965 0.0128293 0.000169926
 73.2 0.00483434 0.0123979 0.000177079
 73.4 0.0072612 0.0118524 0.000193204
 73.6 0.00956819 0.0112004 0.000216999
 73.8 0.0117348 0.0104505 0.00024692
 74 0.0137425 0.00961214 0.000281249
 74.2 0.0155745 0.00869526 0.000318171
 74.4 0.0172161 0.00771051 0.000355845
 74.6 0.0186549 0.00666899 0.00039248
 74.8 0.0198806 0.00558212 0.0004264
 75 0.0208855 0.00446155 0.000456109
 75.2 0.0216638 0.00331904 0.000480336
 75.4 0.0222124 0.00216631 0.000498084
 75.6 0.0225304 0.00101498 0.00050865
 75.8 0.0226193 -0.000123593 0.000511646
 76 0.0224826 -0.0012384 0.000507
 76.2 0.0221262 -0.00231888 0.000494945
 76.4 0.021558 -0.00335502 0.000476003
 76.6 0.0207878 -0.00433746 0.000450945
 76.8 0.0198272 -0.00525754 0.000420758
 77 0.0186894 -0.00610739 0.000386595
 77.2 0.0173893 -0.00688 0.000349724
 77.4 0.015943 -0.00756924 0.000311472
 77.6 0.0143676 -0.00816996 0.000273175
 77.8 0.0126812 -0.00867797 0.00023612
 78 0.0109028 -0.00909007 0.0002015
 78.2 0.00905171 -0.00940409 0.00017037
 78.3999 0.00714776 -0.00961886 0.000143613
 78.5999 0.0052108 -0.00973422 0.000121907
 78.7999 0.00326065 -0.00975101 0.000105714
 78.9999 0.00131685 -0.009671 9.52623e-05
 79.1999 -0.000601477 -0.00949691 9.0553e-05
 79.3999 -0.00247587 -0.00923231 9.13655e-05
 79.5999 -0.00428866 -0.00888163 9.72759e-05
 79.7999 -0.00602312 -0.00845003 0.000107681
 79.9999 -0.00766366 -0.00794338 0.000121829
 80.1999 -0.0091959 -0.00736819 0.000138855
 80.3999 -0.0106068 -0.0067315 0.000157818
 80.5999 -0.0118849 -0.00604082 0.000177742
 80.7999 -0.0130201 -0.00530407 0.000197656
 80.9999 -0.014004 -0.00452943 0.000216628
 81.1999 -0.0148299 -0.00372532 0.000233804
 81.3999 -0.0154927 -0.00290028 0.000248436
 81.5999 -0.0159892 -0.00206289 0.00025991
 81.7999 -0.0163176 -0.00122168 0.000267758
 81.9999 -0.0164782 -0.000385034 0.000271678
 82.1999 -0.0164725 0.000438853 0.000271536
 82.3999 -0.016304 0.00124208 0.000267363
 82.5999 -0.0159776 0.00201712 0.000259351
 82.7999 -0.0154995 0.00275686 0.000247835
 82.9999 -0.0148776 0.00345468 0.000233278
 83.1999 -0.0141208 0.00410451 0.000216245
 83.3999 -0.0132394 0.00470086 0.000197379
 83.5999 -0.0122444 0.0052389 0.000177371
 83.7999 -0.011148 0.00571447 0.000156933
 83.9999 -0.009963 0.00612409 0.000136766
 84.1999 -0.00870293 0.00646501 0.000117537
 84.3999 -0.00738171 0.00673523 9.9853e-05
