t x v
 112.199 0.622392 0.782389
 112.399 0.76542 0.643145
 112.599 0.877934 0.478261
 112.799 0.955448 0.294312
 112.999 0.994873 0.0986294
 113.199 0.994636 -0.100985
 113.399 0.954747 -0.296573
 113.599 0.876797 -0.480338
 113.799 0.763893 -0.644953
 113.999 0.620535 -0.783857
 114.199 0.452439 -0.891512
 114.399 0.266307 -0.963626
 114.599 0.0695582 -0.997324
 114.799 -0.129963 -0.991263
 114.999 -0.324304 -0.945684
 115.199 -0.505715 -0.862405
 115.399 -0.666966 -0.744746
 115.599 -0.801627 -0.597397
 115.799 -0.904331 -0.426232
 115.999 -0.970982 -0.238075
 116.199 -0.998925 -0.040428
 116.399 -0.987045 0.158831
 116.599 -0.935815 0.351758
 116.799 -0.847279 0.530661
 116.999 -0.724965 0.68841
 117.199 -0.57375 0.818714
 117.399 -0.399662 0.916379
 117.599 -0.209641 0.977512
 117.799 -0.0112635 0.999676
 117.999 0.187563 0.981987
 118.199 0.378913 0.92515
 118.399 0.555156 0.831431
 118.599 0.709268 0.704567
 118.799 0.835103 0.549615
 118.999 0.927647 0.372752
 119.199 0.983209 0.181029
 119.399 0.999575 -0.0179103
 119.599 0.976092 -0.216136
 119.799 0.913697 -0.405744
 119.999 0.814876 -0.579177
 120.199 0.683569 -0.729521
 120.399 0.525012 -0.850782
 120.599 0.345525 -0.938125
 120.799 0.152263 -0.988069
 120.999 -0.0470687 -0.998623
 121.199 -0.244524 -0.969367
 121.399 -0.43223 -0.901465
 121.599 -0.602706 -0.797626
 121.799 -0.749153 -0.661989
 121.999 -0.865736 -0.499962
 122.199 -0.947804 -0.318003
 122.399 -0.992088 -0.123367
 122.599 -0.996821 0.0761868
 122.799 -0.961816 0.272703
 122.999 -0.888466 0.458348
 123.199 -0.779698 0.625721
 123.399 -0.639846 0.768148
 123.599 -0.474486 0.879952
 123.799 -0.290211 0.956676
 123.999 -0.0943665 0.995262
 124.199 0.10524 0.99417
 124.399 0.300651 0.953446
 124.599 0.484076 0.874711
 124.799 0.648202 0.761105
 124.999 0.786488 0.617158
 125.199 0.893419 0.448607
 125.399 0.964734 0.262172
 125.599 0.997588 0.0652857
 125.799 0.990673 -0.134203
 125.999 0.944264 -0.328342
 126.199 0.860211 -0.509391
 126.399 0.741865 -0.670132
 126.599 0.593944 -0.804158
 126.799 0.422346 -0.906125
 126.999 0.23391 -0.971969
 127.199 0.0361495 -0.999065
 127.399 -0.163052 -0.986332
 127.599 -0.355753 -0.934278
 127.799 -0.534272 -0.844978
 127.999 -0.691491 -0.721993
 128.199 -0.821143 -0.570225
 128.399 -0.91806 -0.395725
 128.599 -0.978377 -0.205449
 128.799 -0.999691 -0.00698283
 128.999 -0.981151 0.191762
 129.199 -0.923496 0.382861
 129.399 -0.829026 0.558697
 129.599 -0.701507 0.712261
 129.799 -0.546021 0.837429
 129.999 -0.368768 0.929212
 130.199 -0.176813 0.983952
 130.399 0.0221896 0.999465
 130.599 0.220308 0.975134
 130.799 0.409643 0.911929
 130.999 0.582647 0.812369
 131.199 0.732424 0.680423
 131.399 0.853001 0.521351
 131.599 0.939573 0.341496
 131.799 0.988688 0.148027
 131.999 0.998389 -0.051343
