t x v E
 93.9997 -0.0937234 -0.00214005 0.00878866
 94.1997 -0.0941514 0.00258892 0.00887119
 94.3997 -0.0936336 0.00724472 0.00881974
 94.5997 -0.0921847 0.0117815 0.00863682
 94.7997 -0.0898284 0.0161551 0.00833013
 94.9997 -0.0865974 0.0203234 0.00791215
 95.1997 -0.0825327 0.0242468 0.00739955
 95.3997 -0.0776833 0.0278885 0.00681247
 95.5997 -0.0721056 0.0312149 0.00617359
 95.7997 -0.0658626 0.0341959 0.00550725
 95.9997 -0.0590235 0.0368051 0.00483838
 96.1997 -0.0516624 0.0390202 0.00419158
 96.3997 -0.0438584 0.0408229 0.00359007
 96.5997 -0.0356938 0.0421994 0.00305483
 96.7997 -0.0272539 0.0431401 0.00260384
 96.9997 -0.0186259 0.04364 0.00225137
 97.1997 -0.00989793 0.0436985 0.00200752
 97.3997 -0.00115824 0.0433194 0.00187791
 97.5997 0.00750564 0.0425109 0.00186351
 97.7997 0.0160078 0.0412854 0.00196074
 97.9996 0.0242649 0.0396593 0.00216165
 98.1996 0.0321968 0.0376529 0.00245437
 98.3996 0.0397273 0.03529 0.00282364
 98.5996 0.0467853 0.0325978 0.00325148
 98.7996 0.0533049 0.0296066 0.00371796
 98.9996 0.0592262 0.0263492 0.00420203
 99.1996 0.0644961 0.0228609 0.00468236
 99.3996 0.0690682 0.0191789 0.00513825
 99.5996 0.072904 0.0153419 0.00555037
 99.7996 0.0759724 0.0113899 0.00590153
 99.9996 0.0782504 0.00736345 0.00617734
 100.2 0.0797231 0.00330366 0.00636668
 100.4 0.0803838 -0.000748563 0.00646211
 100.6 0.0802341 -0.00475278 0.0064601
 100.8 0.0792835 -0.00866943 0.00636104
 101 0.0775496 -0.0124602 0.0061692
 101.2 0.0750576 -0.0160885 0.00589248
 101.4 0.0718399 -0.0195196 0.00554199
 101.6 0.067936 -0.0227212 0.00513155
 101.8 0.0633917 -0.0256636 0.00467713
 102 0.058259 -0.0283199 0.00419613
 102.2 0.052595 -0.0306664 0.00370667
 102.4 0.0464618 -0.0326829 0.00322686
 102.6 0.0399252 -0.0343523 0.0027741
 102.8 0.0330547 -0.0356615 0.00236436
 103 0.0259224 -0.036601 0.00201161
 103.2 0.0186022 -0.0371651 0.00172729
 103.4 0.0111692 -0.0373519 0.00151992
 103.6 0.0036988 -0.0371634 0.0013948
 103.8 -0.00373387 -0.036605 0.00135387
 104 -0.0110549 -0.0356862 0.00139572
 104.2 -0.0181921 -0.0344198 0.00151567
 104.4 -0.0250761 -0.0328218 0.00170608
 104.6 -0.0316404 -0.0309115 0.00195664
 104.8 -0.0378227 -0.0287113 0.0022549
 105 -0.043565 -0.0262459 0.00258676
 105.2 -0.0488142 -0.0235427 0.00293708
 105.4 -0.0535227 -0.0206312 0.00329033
 105.6 -0.0576489 -0.0175424 0.00363114
 105.8 -0.0611574 -0.0143091 0.00394498
 106 -0.0640193 -0.0109651 0.0042187
 106.2 -0.0662123 -0.0075448 0.00444099
 106.4 -0.0677212 -0.00408329 0.00460284
 106.6 -0.0685379 -0.000615566 0.00469782
 106.8 -0.068661 0.00282364 0.00472231
 107 -0.0680963 0.00620022 0.00467554
 107.2 -0.0668562 0.00948103 0.00455964
 107.4 -0.06496 0.0126342 0.00437943
 107.6 -0.0624332 0.0156295 0.00414218
 107.799 -0.0593073 0.0184386 0.00385734
 107.999 -0.0556196 0.0210352 0.00353601
 108.199 -0.0514125 0.0233955 0.00319059
 108.399 -0.0467334 0.0254982 0.00283417
 108.599 -0.0416338 0.0273249 0.00248002
 108.799 -0.0361688 0.0288601 0.00214109
 108.999 -0.0303968 0.0300913 0.00182945
 109.199 -0.0243785 0.0310093 0.00155589
 109.399 -0.0181767 0.0316081 0.00132946
 109.599 -0.011855 0.0318847 0.00115718
 109.799 -0.0054781 0.0318398 0.00104378
 109.999 0.000889862 0.0314769 0.000991588
 110.199 0.00718524 0.0308029 0.00100045
 110.399 0.0133458 0.0298276 0.00106779
 110.599 0.0193113 0.0285637 0.00118881
 110.799 0.0250241 0.0270269 0.00135666
 110.999 0.0304295 0.0252351 0.00156276
 111.199 0.0354765 0.023209 0.00179724
 111.399 0.0401183 0.020971 0.00204926
 111.599 0.0443125 0.0185456 0.00230753
 111.799 0.0480216 0.0159591 0.00256077
 111.999 0.0512134 0.0132388 0.00279808
 112.199 0.0538612 0.0104134 0.00300946
 112.399 0.0559438 0.00751205 0.00318614
 112.599 0.0574463 0.00456462 0.00332091
 112.799 0.0583592 0.00160102 0.00340836
 112.999 0.0586794 -0.00134896 0.00344509
 113.199 0.0584096 -0.00425595 0.00342979
 113.399 0.0575584 -0.00709131 0.00336326
 113.599 0.0561401 -0.00982741 0.00324829
 113.799 0.0541747 -0.0124379 0.00308959
 113.999 0.0516871 -0.0148978 0.0028935
 114.199 0.0487075 -0.0171842 0.00266772
 114.399 0.0452707 -0.0192759 0.00242099
 114.599 0.0414155 -0.0211539 0.00216273
 114.799 0.0371847 -0.0228016 0.00190262
 114.999 0.0326244 -0.0242048 0.00165022
 115.199 0.0277834 -0.025352 0.00141464
 115.399 0.022713 -0.0262341 0.00120411
 115.599 0.0174662 -0.0268451 0.00102572
 115.799 0.0120972 -0.0271815 0.000885174
 115.999 0.00666087 -0.0272427 0.000786532
 116.199 0.00121233 -0.0270309 0.000732139
 116.399 -0.00419384 -0.0265509 0.000722538
 116.599 -0.00950402 -0.0258102 0.000756491
 116.799 -0.0146661 -0.0248188 0.000831064
 116.999 -0.0196298 -0.0235891 0.000941775
 117.199 -0.0243476 -0.0221358 0.0010828
 117.399 -0.0287748 -0.0204757 0.00124724
 117.599 -0.0328699 -0.0186275 0.00142742
 117.799 -0.0365954 -0.0166114 0.00161516
 117.999 -0.0399177 -0.0144494 0.00180221
 118.199 -0.0428076 -0.0121645 0.00198047
 118.399 -0.0452405 -0.00978087 0.00214237
 118.599 -0.0471967 -0.00732323 0.00228116
 118.799 -0.0486613 -0.00481693 0.00239113
 118.999 -0.0496247 -0.00228753 0.00246784
 119.199 -0.0500822 0.000239458 0.00250829
 119.399 -0.0500343 0.00273878 0.00251093
 119.599 -0.0494866 0.00518572 0.00247581
 119.799 -0.0484494 0.00755634 0.00240445
 119.999 -0.0469382 0.00982768 0.00229977
 120.199 -0.0449726 0.011978 0.00216601
 120.399 -0.042577 0.0139871 0.00200844
 120.599 -0.0397796 0.0158362 0.0018332
 120.799 -0.0366124 0.0175085 0.00164701
 120.999 -0.0331107 0.0189889 0.00145689
