t x v
 83.1999 -0.0134117 0.00447916
 83.3999 -0.0124578 0.00503195
 83.5999 -0.0113992 0.00552382
 83.7999 -0.0102485 0.00595109
 83.9999 -0.00901891 0.0063108
 84.1999 -0.00772427 0.00660073
 84.3999 -0.00637871 0.00681938
 84.5999 -0.00499658 0.00696601
 84.7999 -0.00359232 0.00704058
 84.9998 -0.00218033 0.0070438
 85.1998 -0.000774754 0.00697704
 85.3998 0.000610573 0.00684236
 85.5998 0.00196231 0.00664244
 85.7998 0.0032677 0.00638058
 85.9998 0.00451471 0.00606059
 86.1998 0.00569214 0.00568681
 86.3998 0.00678966 0.00526401
 86.5998 0.00779799 0.00479738
 86.7998 0.00870888 0.0042924
 86.9998 0.00951523 0.00375486
 87.1998 0.0102111 0.00319073
 87.3998 0.0107918 0.00260615
 87.5998 0.0112539 0.00200733
 87.7998 0.0115951 0.00140048
 87.9998 0.0118144 0.00079179
 88.1998 0.0119121 0.000187341
 88.3998 0.0118896 -0.000406954
 88.5998 0.0117496 -0.000985397
 88.7998 0.0114957 -0.00154256
 88.9998 0.0111328 -0.00207335
 89.1998 0.0106666 -0.002573
 89.3998 0.0101039 -0.00303719
 89.5998 0.00945197 -0.00346201
 89.7998 0.00871924 -0.00384403
 89.9998 0.00791452 -0.0041803
 90.1998 0.00704725 -0.00446839
 90.3998 0.00612727 -0.00470642
 90.5998 0.00516477 -0.004893
 90.7998 0.00417013 -0.00502731
 90.9998 0.00315387 -0.00510905
 91.1998 0.00212651 -0.00513846
 91.3997 0.00109846 -0.00511629
 91.5997 7.99437e-05 -0.00504378
 91.7997 -0.000919125 -0.00492265
 91.9997 -0.00188921 -0.00475507
 92.1997 -0.00282127 -0.00454363
 92.3997 -0.00370681 -0.0042913
 92.5997 -0.00453795 -0.00400139
 92.7997 -0.00530753 -0.00367752
 92.9997 -0.00600915 -0.0033236
 93.1997 -0.00663717 -0.00294372
 93.3997 -0.00718684 -0.00254218
 93.5997 -0.00765426 -0.00212338
 93.7997 -0.00803642 -0.00169184
 93.9997 -0.00833122 -0.00125208
 94.1997 -0.00853747 -0.000808628
 94.3997 -0.00865489 -0.000365969
 94.5997 -0.00868408 7.15239e-05
 94.7997 -0.0086265 0.000499612
 94.9997 -0.00848444 0.000914234
 95.1997 -0.008261 0.00131154
 95.3997 -0.00796001 0.00168793
 95.5997 -0.007586 0.00204009
 95.7997 -0.00714413 0.00236501
 95.9997 -0.00664014 0.00265999
 96.1997 -0.00608026 0.00292271
 96.3997 -0.00547117 0.0031512
 96.5997 -0.00481987 0.00334387
 96.7997 -0.00413369 0.00349953
 96.9997 -0.00342011 0.00361736
 97.1997 -0.00268678 0.00369694
 97.3997 -0.00194135 0.00373825
 97.5997 -0.00119147 0.00374164
 97.7997 -0.000444664 0.00370783
 97.9996 0.000291709 0.00363788
 98.1996 0.00101055 0.00353322
 98.3996 0.00170508 0.00339558
 98.5996 0.00236888 0.00322697
 98.7996 0.00299597 0.00302968
 98.9996 0.00358087 0.00280624
 99.1996 0.0041186 0.00255939
 99.3996 0.00460476 0.00229205
 99.5996 0.00503557 0.00200727
 99.7996 0.00540783 0.00170823
 99.9996 0.00571902 0.00139818
 100.2 0.00596726 0.00108041
 100.4 0.00615135 0.000758239
 100.6 0.00627072 0.000434943
 100.8 0.00632549 0.000113755
 101 0.00631638 -0.000202177
 101.2 0.00624477 -0.000509824
 101.4 0.0061126 -0.000806297
 101.6 0.00592239 -0.00108887
 101.8 0.00567718 -0.00135503
 102 0.0053805 -0.00160244
 102.2 0.00503631 -0.00182904
 102.4 0.00464898 -0.00203298
 102.6 0.00422321 -0.00221268
 102.8 0.00376398 -0.00236686
 103 0.00327652 -0.00249448
 103.2 0.00276623 -0.0025948
 103.4 0.00223863 -0.00266738
 103.6 0.0016993 -0.00271204
 103.8 0.00115382 -0.0027289
 104 0.000607727 -0.00271833
 104.2 6.64587e-05 -0.002681
 104.4 -0.000464712 -0.0026178
 104.6 -0.000980713 -0.00252988
 104.8 -0.00147673 -0.00241859
 105 -0.00194822 -0.00228551
 105.2 -0.00239101 -0.0021324
 105.4 -0.00280127 -0.00196116
 105.6 -0.00317558 -0.00177386
 105.8 -0.00351092 -0.00157267
 106 -0.00380476 -0.00135988
 106.2 -0.00405499 -0.00113782
 106.4 -0.00426 -0.000908881
 106.6 -0.00441866 -0.00067547
 106.8 -0.00453031 -0.000439995
 107 -0.00459478 -0.000204833
 107.2 -0.00461236 2.76885e-05
 107.4 -0.00458382 0.000255314
 107.6 -0.00451035 0.000475881
 107.799 -0.00439357 0.000687341
 107.999 -0.00423551 0.000887777
 108.199 -0.00403855 0.00107542
 108.399 -0.00380543 0.00124866
 108.599 -0.00353916 0.00140606
 108.799 -0.00324307 0.00154638
 108.999 -0.00292067 0.00166856
 109.199 -0.00257569 0.00177175
 109.399 -0.00221201 0.00185531
 109.599 -0.0018336 0.00191879
 109.799 -0.00144451 0.00196197
 109.999 -0.00104882 0.00198481
 110.199 -0.00065058 0.00198751
 110.399 -0.0002538 0.00197042
 110.599 0.000137612 0.00193412
 110.799 0.000519879 0.00187934
 110.999 0.000889389 0.001807
 111.199 0.00124273 0.00171816
 111.399 0.00157671 0.00161403
 111.599 0.00188841 0.00149596
 111.799 0.00217516 0.00136538
 111.999 0.00243463 0.00122385
