t x v
 114.999 -0.994249 -0.519625
 115.199 -1.07829 -0.310383
 115.399 -1.1188 -0.0885175
 115.599 -1.11413 0.137013
 115.799 -1.06444 0.357098
 115.999 -0.971734 0.562845
 116.199 -0.83973 0.745935
 116.399 -0.673749 0.898962
 116.599 -0.480482 1.01573
 116.799 -0.267725 1.09151
 116.999 -0.0440681 1.12323
 117.199 0.181459 1.10958
 117.399 0.399746 1.05109
 117.599 0.60197 0.950124
 117.799 0.779955 0.810727
 117.999 0.926501 0.638522
 118.199 1.03568 0.440451
 118.399 1.10305 0.224507
 118.599 1.12589 -0.000593692
 118.799 1.10326 -0.22576
 118.999 1.03604 -0.441896
 119.199 0.926939 -0.640266
 119.399 0.780347 -0.812849
 119.599 0.60217 -0.952661
 119.799 0.399594 -1.05404
 119.999 0.180794 -1.11288
 120.199 -0.0453976 -1.12678
 120.399 -0.269846 -1.09517
 120.599 -0.483482 -1.01929
 120.799 -0.677671 -0.902211
 120.999 -0.84456 -0.748633
 121.199 -0.977395 -0.564748
 121.399 -1.0708 -0.357974
 121.599 -1.12098 -0.136655
 121.799 -1.12589 0.0902732
 121.999 -1.08532 0.313645
 122.199 -1.00088 0.524435
 122.399 -0.875975 0.714123
 122.599 -0.715631 0.875035
 122.799 -0.526311 1.00066
 122.999 -0.315653 1.08591
 123.199 -0.092158 1.12732
 123.399 0.13515 1.12321
 123.599 0.357088 1.07371
 123.799 0.564689 0.980821
 123.999 0.749559 0.848267
 124.199 0.904222 0.68139
 124.399 1.02242 0.486918
 124.599 1.09935 0.272696
 124.799 1.1319 0.0473723
 124.999 1.11874 -0.179956
 125.199 1.06037 -0.400104
 125.399 0.959145 -0.604177
 125.599 0.819127 -0.783922
 125.799 0.64596 -0.932069
 125.999 0.446627 -1.04262
 126.199 0.22917 -1.11109
 126.399 0.00236814 -1.1347
 126.599 -0.22462 -1.11248
 126.799 -0.442625 -1.04531
 126.999 -0.642834 -0.935879
 127.199 -0.817153 -0.788595
 127.399 -0.958529 -0.609392
 127.599 -1.06124 -0.405499
 127.799 -1.12111 -0.185141
 127.999 -1.13572 0.0427841
 128.199 -1.10445 0.269072
 128.399 -1.02854 0.48458
 128.599 -0.911057 0.680597
 128.799 -0.756716 0.849197
 128.999 -0.571742 0.983556
 129.199 -0.363596 1.07823
 129.399 -0.140678 1.12939
 129.599 0.0880133 1.13494
 129.799 0.31324 1.09463
 129.999 0.525902 1.01009
 130.199 0.717403 0.884711
 130.399 0.879997 0.723537
 130.599 1.0071 0.533066
 130.799 1.09358 0.320984
 130.999 1.1359 0.0958493
 131.199 1.13235 -0.133248
 131.399 1.08306 -0.357054
 131.599 0.989984 -0.566524
 131.799 0.85688 -0.75319
 131.999 0.689104 -0.909502
 132.199 0.493422 -1.02913
 132.399 0.277727 -1.10723
 132.599 0.0507253 -1.14064
 132.799 -0.178416 -1.12797
 132.999 -0.400442 -1.06973
 133.199 -0.606378 -0.968242
 133.399 -0.787899 -0.827602
 133.599 -0.937661 -0.65347
 133.799 -1.0496 -0.452868
 133.999 -1.11918 -0.233891
 134.199 -1.14358 -0.00537625
 134.399 -1.12178 0.223447
 134.599 -1.05466 0.443334
 134.799 -0.944897 0.645399
 134.999 -0.796919 0.82147
 135.199 -0.616687 0.964425
 135.399 -0.411468 1.06847
 135.599 -0.189544 1.1294
 135.799 0.0401266 1.14472
 135.999 0.268268 1.1138
 136.199 0.485662 1.03787
 136.399 0.683523 0.919979
 136.599 0.853848 0.764875
 136.799 0.989746 0.578808
 136.999 1.08571 0.369283
 137.199 1.13786 0.144754
 137.399 1.14405 -0.0857116
 137.599 1.10403 -0.312807
 137.799 1.01938 -0.527356
 137.999 0.893525 -0.720686
 138.199 0.731517 -0.884977
 138.399 0.539891 -1.01358
 138.599 0.326377 -1.10129
 138.799 0.0995923 -1.14454
 138.999 -0.131307 -1.14156
 139.199 -0.356994 -1.09247
 139.399 -0.568349 -0.999224
 139.599 -0.756826 -0.86557
 139.799 -0.914804 -0.696893
 139.999 -1.03589 -0.499995
 140.199 -1.11517 -0.282817
 140.399 -1.14943 -0.0541275
 140.599 -1.13726 0.176841
 140.799 -1.07915 0.400757
 140.999 -0.977417 0.608572
 141.199 -0.836154 0.791884
 141.399 -0.661054 0.943277
 141.599 -0.459178 1.05662
 141.799 -0.23867 1.12733
 141.999 -0.00843142 1.15251
 142.199 0.22224 1.13115
 142.399 0.444025 1.06408
 142.599 0.64796 0.953991
 142.799 0.825799 0.80532
 142.999 0.970347 0.624053
 143.199 1.07575 0.417503
 143.399 1.13774 0.194003
 143.599 1.15378 -0.0374245
 143.799 1.12322 -0.267432
 143.999 1.04727 -0.486728
 144.199 0.92898 -0.686448
 144.399 0.773111 -0.858515
 144.599 0.585945 -0.995967
 144.799 0.375033 -1.09324
 144.999 0.148885 -1.14638
 145.199 -0.083368 -1.15323
 145.399 -0.312346 -1.11349
 145.599 -0.528797 -1.02875
 145.799 -0.723971 -0.902416
 145.999 -0.889975 -0.739573
 146.199 -1.02009 -0.546787
 146.399 -1.10905 -0.331833
 146.599 -1.15323 -0.103387
 146.799 -1.15084 0.129327
 146.999 -1.10196 0.356909
 147.199 -1.00854 0.570163
 147.399 -0.874338 0.760468
 147.599 -0.704757 0.920127
 147.799 -0.506637 1.04268
 147.999 -0.287969 1.12315
 148.199 -0.0575796 1.15828
 148.399 0.175228 1.14663
 148.599 0.40105 1.08865
 148.799 0.610759 0.986669
 148.999 0.795878 0.844784
 149.199 0.948917 0.668713
 149.399 1.06368 0.465555
 149.599 1.13552 0.243508
 149.799 1.16151 0.0115339
 149.999 1.14059 -0.220999
 150.199 1.07357 -0.444696
 150.399 0.963164 -0.650517
 150.599 0.813797 -0.83014
 150.799 0.631494 -0.976296
 150.999 0.423604 -1.08307
 151.199 0.198519 -1.14613
 151.399 -0.0346775 -1.16291
 151.599 -0.266566 -1.13272
 151.799 -0.487778 -1.05675
 151.999 -0.689372 -0.938058
 152.199 -0.863196 -0.781422
 152.399 -1.00222 -0.593155
 152.599 -1.1008 -0.380848
 152.799 -1.15496 -0.153071
 152.999 -1.16247 0.0809821
 153.199 -1.12303 0.311857
 153.399 -1.03819 0.530225
 153.599 -0.911385 0.727259
 153.799 -0.747706 0.894991
 153.999 -0.553753 1.02663
 154.199 -0.337352 1.11685
 154.399 -0.107235 1.16198
 154.599 0.127307 1.16019
 154.799 0.356799 1.11153
 154.999 0.571968 1.01794
 155.199 0.764116 0.883183
 155.399 0.92547 0.712696
 155.599 1.0495 0.513348
 155.799 1.13118 0.293181
 155.999 1.16719 0.0610819
 156.199 1.15606 -0.173578
 156.399 1.09823 -0.40132
 156.599 0.995999 -0.612939
 156.799 0.853492 -0.79988
 156.999 0.676446 -0.954581
 157.199 0.472001 -1.07078
 157.399 0.248405 -1.14376
 157.599 0.0146845 -1.17057
 157.799 -0.219723 -1.15009
 157.999 -0.445347 -1.08315
 158.199 -0.65307 -0.972415
 158.399 -0.834491 -0.822353
 158.599 -0.982272 -0.639008
 158.799 -1.09043 -0.429773
 158.999 -1.15457 -0.203092
 159.199 -1.1721 0.0318848
 159.399 -1.14228 0.265667
 159.599 -1.0663 0.48881
 159.799 -0.947215 0.692295
 159.999 -0.789812 0.867892
 160.199 -0.600437 1.0085
 160.399 -0.386729 1.10841
 160.599 -0.157312 1.16359
 160.799 0.0785529 1.17178
 160.999 0.311338 1.13264
 161.199 0.531639 1.04772
 161.399 0.730549 0.920433
 161.599 0.900025 0.755915
 161.799 1.03321 0.560791
 161.999 1.1247 0.342934
 162.199 1.17079 0.111135
 162.399 1.16961 -0.125246
 162.599 1.12116 -0.356662
 162.799 1.02741 -0.573762
 162.999 0.892108 -0.767768
 163.199 0.720712 -0.930834
 163.399 0.520131 -1.05636
 163.599 0.298456 -1.13926
 163.799 0.0646352 -1.17617
 163.999 -0.17189 -1.16557
 164.199 -0.401566 -1.10788
 164.399 -0.615111 -1.00541
 164.599 -0.80389 -0.862278
 164.799 -0.960268 -0.684255
 164.999 -1.07791 -0.478516
